Abin,Jose,QC Inspector,abinjose123@gmail.com,1990-20-03,"brilliant"
Anu,Thomas,IT Engineer,anumoltom@gmail.com,1994-25-03,"excellent"
Renjumol,PS,Android Developer,renjumolps@yahoo.com,1991-30-06,"brilliant"
Tom,Jones,Senior Director,jonestom@gmail.com,1989-19-11,"excellent"
Ian,Dury,Chief Engineer,iance@yahoo.com,1985-31-12,"brilliant"
Angel,Jose,Administrator,angeljose@gmail.com,1995-04-05,"excellent"
Robin,Reji,Junior Director,robinrobi@gmail.com,1994-29-01,"brilliant"
Raji,Raj,Accountant,rajiraj@gmail.com,1991-20-10,"excellent"
Hari,Nandu,Software Engineer,nanduhari@gmail.com,2011-28-06,"brilliant"
Anji,Mol,Doctor-BAMS,anjimols@gmail.com,1994-04-05,"excellent"

